ID;Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1;Nombre del atributo 2;Valor(es) del atributo 2;Atributo visible 2;Atributo global 2;Nombre del atributo 3;Valor(es) del atributo 3;Atributo visible 3;Atributo global 3
2378;variation;SET-2-CUSTOM-CH-40X50-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;7700;;;;;;;SET-2-CUSTOM;;;;;;11;Color;Blanco;;1;Tipo de Marco;Chata;;1;Medida;40 X 50;;1
2380;variation;SET-2-CUSTOM-CH-50X70-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;11600;;;;;;;SET-2-CUSTOM;;;;;;13;Color;Blanco;;1;Tipo de Marco;Chata;;1;Medida;50 X 70;;1
2381;variation;SET-2-CUSTOM-CH-60X90-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;16200;;;;;;;SET-2-CUSTOM;;;;;;14;Color;Blanco;;1;Tipo de Marco;Chata;;1;Medida;60 X 90;;1
2382;variation;SET-2-CUSTOM-CA-15X20-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;2600;;;;;;;SET-2-CUSTOM;;;;;;15;Color;Natural;;1;Tipo de Marco;Caja;;1;Medida;15 X 20;;1
2383;variation;SET-2-CUSTOM-CA-20X30-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;4100;;;;;;;SET-2-CUSTOM;;;;;;16;Color;Natural;;1;Tipo de Marco;Caja;;1;Medida;20 X 30;;1
2377;variation;SET-2-CUSTOM-CH-30X40-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;5600;;;;;;;SET-2-CUSTOM;;;;;;10;Color;Blanco;;1;Tipo de Marco;Chata;;1;Medida;30 X 40;;1
2376;variation;SET-2-CUSTOM-CH-20X30-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;3800;;;;;;;SET-2-CUSTOM;;;;;;9;Color;Blanco;;1;Tipo de Marco;Chata;;1;Medida;20 X 30;;1
2375;variation;SET-2-CUSTOM-CH-15X20-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;2500;;;;;;;SET-2-CUSTOM;;;;;;8;Color;Blanco;;1;Tipo de Marco;Chata;;1;Medida;15 X 20;;1
2374;variation;SET-2-CUSTOM-CAJ-60X90-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;17300;;;;;;;SET-2-CUSTOM;;;;;;7;Color;Blanco;;1;Tipo de Marco;Caja;;1;Medida;60 X 90;;1
2373;variation;SET-2-CUSTOM-CAJ-50X70-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;12550;;;;;;;SET-2-CUSTOM;;;;;;6;Color;Blanco;;1;Tipo de Marco;Caja;;1;Medida;50 X 70;;1
2372;variation;SET-2-CUSTOM-CAJ-40X60-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;9000;;;;;;;SET-2-CUSTOM;;;;;;5;Color;Blanco;;1;Tipo de Marco;Caja;;1;Medida;40 X 60;;1
2368;variation;SET-2-CUSTOM-CAJ-15X20-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;2600;;;;;;;SET-2-CUSTOM;;;;;;1;Color;Blanco;;1;Tipo de Marco;Caja;;1;Medida;15 X 20;;1
2371;variation;SET-2-CUSTOM-CAJ-40X50-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;8300;;;;;;;SET-2-CUSTOM;;;;;;4;Color;Blanco;;1;Tipo de Marco;Caja;;1;Medida;40 X 50;;1
2370;variation;SET-2-CUSTOM-CAJ-30X40-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;6100;;;;;;;SET-2-CUSTOM;;;;;;3;Color;Blanco;;1;Tipo de Marco;Caja;;1;Medida;30 X 40;;1
2369;variation;SET-2-CUSTOM-CAJ-20X30-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;4100;;;;;;;SET-2-CUSTOM;;;;;;2;Color;Blanco;;1;Tipo de Marco;Caja;;1;Medida;20 X 30;;1
